,Title,Authors,Text,Summary,published_date,Source
0,GTA 6 Still On Track For Release In Fall 2025 But Exec Can't Rule Out Possible Delay,['Eddie Makuch'],"Rockstar's highly anticipated Grand Theft Auto VI remains on schedule to launch in Fall 2025, parent company Take-Two announced as part of its earnings briefing today. Some expected Rockstar to announce a delay given Rockstar's history of delaying its big games, but it did not happen.

In an interview with IGN, Take-Two boss Strauss Zelnick said there is ""always a risk of slippage,"" but he feels ""really good"" about the game making it out on time in Fall 2025.

""Look, I think the game is eagerly anticipated both internally and externally,"" he said. ""We know that Rockstar seeks perfection. I never claim success before it occurs. I'm fond of saying arrogance is the enemy of continued success, so we're all running scared and looking over our shoulders and we know that the competition is not asleep. Our whole organization is super excited.""

Separately, Zelnick told Variety, ""We've announced a pretty narrow window [for GTA 6]. So I think our view is that right now, that's fine. And then when it’s appropriate, of course, Rockstar is going to have more to say.""

Take-Two's share price is surging following the announcement of earnings, growing by more than 7%. This may also be related to Take-Two beating earnings projections, suggesting positive financial health.

GTA VI has extremely big shoes to fill, as GTA V has now sold more than 210 million units, propelling the entire series to 440 million copies sold. One company believes GTA VI can sell 40 million units and drive $3 billion in revenue during its first year alone.

Rockstar's other juggernaut series, Red Dead Redemption, continues to soar as well. Red Dead Redemption II has now sold 70 million copies, up from 67 million just three months ago.

GTA VI is not the only big game that Take-Two has in the works for 2025, as the company is also launching Sid Meier's Civilization VII on February 11, PGA Tour 2K25 on February 28, and WWE 2K25 on March 14. Looking beyond that, Take-Two has Mafia: The Old Country lined up for Summer 2025, with GTA VI landing in Fall 2025, and Borderlands 4 at some point in calendar 2025.","Rockstar's highly anticipated Grand Theft Auto VI remains on schedule to launch in Fall 2025, parent company Take-Two announced as part of its earnings briefing today.
Some expected Rockstar to announce a delay given Rockstar's history of delaying its big games, but it did not happen.
GTA VI has extremely big shoes to fill, as GTA V has now sold more than 210 million units, propelling the entire series to 440 million copies sold.
One company believes GTA VI can sell 40 million units and drive $3 billion in revenue during its first year alone.
Looking beyond that, Take-Two has Mafia: The Old Country lined up for Summer 2025, with GTA VI landing in Fall 2025, and Borderlands 4 at some point in calendar 2025.",,https://www.gamespot.com/games
1,"New Xbox Game Pass Titles Revealed For February 2025, Including Starfield For Standard Tier",['Evan Campbell'],"GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

Microsoft has unveiled four new games for Xbox Game Pass this month, along with three titles getting added to the Standard tier of the subscription service. The most notable of the latter trio is Bethesda's Starfield becoming available on February 5.

The long-awaited Avowed from Obsidian will arrive February 18 as a day-one release for Game Pass. Recently, the developer explained how the RPG not being totally open-world is a good thing. That said, Avowed is still full of discoveries and the freedom to find them in the game's open zones.

Meanwhile, with the Super Bowl happening this weekend, Madden NFL 25 is running on to the service on February 6. That means you could play or simulate Sunday's matchup between the Philadelphia Eagles and Kansas City Chiefs in the game.

The other two new entries for Game Pass are Far Cry: New Dawn--which is available right now--and Kingdom Two Crowns on February 13. The former just received an update on Xbox Series X|S that offers native 60fps for the shooter, per the official Far Cry account on X.

As for current Game Pass offerings coming to the Standard tier, Starfield is joined by Another Crab's Treasure and Eiyuden Chronicle: Hundred Heroes. All three hit the middle tier on February 5. Microsoft is also removing seven titles from Game Pass in the middle of the month, including Tales of Arise.","Microsoft has unveiled four new games for Xbox Game Pass this month, along with three titles getting added to the Standard tier of the subscription service.
The long-awaited Avowed from Obsidian will arrive February 18 as a day-one release for Game Pass.
The other two new entries for Game Pass are Far Cry: New Dawn--which is available right now--and Kingdom Two Crowns on February 13.
As for current Game Pass offerings coming to the Standard tier, Starfield is joined by Another Crab's Treasure and Eiyuden Chronicle: Hundred Heroes.
Microsoft is also removing seven titles from Game Pass in the middle of the month, including Tales of Arise.",,https://www.gamespot.com/games
2,Games Leaving Game Pass Soon Include A Big JRPG,['George Yang'],"GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

With new games being added to Xbox Game Pass, it's inevitable that others will leave. The big addition for this month is Avowed, which launches on February 18. But this month also sees the loss of some good games, including a big JRPG, on February 15.

Tales of Arise is the latest entry in the Tales series and the only entry that received a DLC expansion titled Beyond the Dawn. Last month, it was revealed that Tales of Arise was leaving PlayStation Plus, so it's not a surprise that it's leaving Game Pass as well.

Koji Igarashi's excellent side-scrolling game Bloodstained: Ritual of the Night is leaving too. It's a spiritual successor to the Castlevania series, and a sequel was announced in 2021, so be sure to check it out while you can.

Lab Zero Games' Indivisible is a turn-based game inspired by Valkyrie Profile and Southeast Asian mythology. It's an interesting blend of influences and it's unfortunate that the studio shut down back in 2020.

Read on to see all the games leaving, and then check out the new Game Pass games for February 2025.","With new games being added to Xbox Game Pass, it's inevitable that others will leave.
But this month also sees the loss of some good games, including a big JRPG, on February 15.
Tales of Arise is the latest entry in the Tales series and the only entry that received a DLC expansion titled Beyond the Dawn.
Last month, it was revealed that Tales of Arise was leaving PlayStation Plus, so it's not a surprise that it's leaving Game Pass as well.
Read on to see all the games leaving, and then check out the new Game Pass games for February 2025.",,https://www.gamespot.com/games
3,PlayStation Plus Free Games For February 2025 Live Now,['Darryn Bonthuys'],"PlayStation has released this month's batch of free games for PlayStation Plus subscribers. All PS Plus members can now claim a trio of freebies--Payday 3, High on Life, and Pac-Man World: Re-Pac.

Sony also mentioned that it will focus more on offering PS5 titles through the monthly games and Game Catalog benefit starting January 2026. While PS4 owners may still receive free games as part of the subscription, Sony says these will only be occasionally handed out from next year.

Payday 3

It hasn't exactly been smooth sailing for Payday 3, which was supposed to kick off the next era of the popular bank-heist-simulator series. While the core game isn't bad, numerous server issues and low player numbers made for a rough launch, but developer Starbreeze hasn't thrown in the towel on Payday 3. yet. As part of an effort titled Operation Medic Bag, Starbreeze has been steadily improving on the game with several patches and an offline mode.

High on Life

If you're a fan of Rick and Morty, then High on Life will appeal to you as it shares much of the same oddball humor as the hit animated series. A first-person shooter that features very talkative guns and an alien space cartel who get ""high"" on humans, the game was made by Squanch Games, a studio founded by Rick and Morty co-creator Justin Roiland and Tanya Watson. Roiland resigned from the company in 2023, following a series of controversies.

Pac-Man World: Re-Pac

A remake of the original Pac-Man World platformer, Pac-Man World: Re-Pac is a charming game featuring the Bandai Namco icon. Its gameplay was overhauled and its graphics were updated for this 2022 release, which saw Pac-Man embark on a quest to save his friends and family from the ghosts who had kidnapped them.

PlayStation Plus Free Games for February 2025

PS Plus February 2025 free games

Available February 4 until March 3.

Payday 3

High on Life

Pac-Man World: Re-Pac","PlayStation has released this month's batch of free games for PlayStation Plus subscribers.
All PS Plus members can now claim a trio of freebies--Payday 3, High on Life, and Pac-Man World: Re-Pac.
While PS4 owners may still receive free games as part of the subscription, Sony says these will only be occasionally handed out from next year.
Pac-Man World: Re-PacA remake of the original Pac-Man World platformer, Pac-Man World: Re-Pac is a charming game featuring the Bandai Namco icon.
PlayStation Plus Free Games for February 2025PS Plus February 2025 free gamesAvailable February 4 until March 3.",,https://www.gamespot.com/games
4,The Best Nintendo Switch Games In 2025,"['Steve Watts', 'Steven Petite', 'Darryn Bonthuys']","GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

As 2025 begins, it's a good time to catch up on the very best Nintendo Switch games. As you may expect, many of the best Nintendo Switch games are published by Nintendo itself. The vast and impressive library of exclusives has been complemented by a staggering number of third-party hits. With such a strong catalog of games, narrowing down the standouts to the very best isn't super easy, but that's what we've attempted with our list of the best Nintendo Switch games. These are our absolute highest recommendations.

Our list includes a smattering of games you can only play on Nintendo Switch as well as some third-party titles that feel right at home on the console. If your favorite Switch game didn't make the cut, just know that this list could easily include 50-plus games. We aimed to include a mix of genres, franchises, and both AAA and indie games. Essentially, this list can be used as a guide for a good place to start if you just joined the Nintendo Switch club. Though some franchises nabbed multiple spots on this list (Zelda, Metroid, Pokemon), we tried to limit repetition where possible. And now that Nintendo has officially announced that its Switch successor announcement is coming within the next year, so this may be the last year of the original Switch being the company's primary focus.

Our picks are organized in alphabetical order, and at the bottom of this list, you'll find a note detailing which games have been removed .

Editor's Note: Article updated on January 3, 2025.","As 2025 begins, it's a good time to catch up on the very best Nintendo Switch games.
As you may expect, many of the best Nintendo Switch games are published by Nintendo itself.
With such a strong catalog of games, narrowing down the standouts to the very best isn't super easy, but that's what we've attempted with our list of the best Nintendo Switch games.
Our list includes a smattering of games you can only play on Nintendo Switch as well as some third-party titles that feel right at home on the console.
Essentially, this list can be used as a guide for a good place to start if you just joined the Nintendo Switch club.",,https://www.gamespot.com/games
5,The Best PS5 Games In 2025,"['Steve Watts', 'Steven Petite']","GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

These are the very best PS5 games. The PlayStation 5 library is large and growing, so we've rounded up a selection of our absolute favorites, ranging from new PS5 games to modern classics, big-budget AAA releases to indie gems, and everything in between. As a new year begins, it's a good time to catch up on games you may have missed, and this list should serve as a starting point. Every game on this list gets our mark of approval as the very best the platform has to offer.

This list includes recent favorites like The Game Awards winner Astro Bot and our own GameSpot Game of the Year, Metaphor ReFantazio. Plus there's no shortage of other first- and third-party hits, like Marvel's Spider-Man 2, Diablo 4, and Street Fighter 6.

The PlayStation 5 is leading the market at more than 60 million units sold. The console has also gotten a facelift with the PS5 Slim model, and a portable peripheral (of sorts) with the streaming PlayStation Portal.

For even more recommendations to get the most out of your PS5, be sure to check out our best PS5 controllers and best PS5 headsets. While you're at it, check out some of our selections for the best games on other platforms, best Xbox Series X games, best Xbox One games, and best Nintendo Switch games.","These are the very best PS5 games.
Every game on this list gets our mark of approval as the very best the platform has to offer.
This list includes recent favorites like The Game Awards winner Astro Bot and our own GameSpot Game of the Year, Metaphor ReFantazio.
For even more recommendations to get the most out of your PS5, be sure to check out our best PS5 controllers and best PS5 headsets.
While you're at it, check out some of our selections for the best games on other platforms, best Xbox Series X games, best Xbox One games, and best Nintendo Switch games.",,https://www.gamespot.com/games
6,The Best Xbox Series X Games In 2025,"['Steve Watts', 'Steven Petite']","GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

These are the very best Xbox Series X|S games. The Xbox Series X|S is four years old, and it's built a huge library of great games. With so much to choose from, we've curated a selection of the very best Xbox Series X|S games to play right now. We regularly review these choices to make sure we stand by them as the best the Xbox Series X|S has to offer, so this still stands as our highest recommendations on the console. As 2025 begins, this should serve as a starting point for finding the absolute cream of the crop.

The future of Xbox is a more expansive brand than just a console, encompassing its suite of services like Xbox Game Pass. The subscription service has emerged as a major pillar for Microsoft, as it offers a huge rotating library of free games, including first-party releases. Whether you're looking for something new to play via the Game Pass subscription service or need buying advice for your next full game purchase, this list of games will steer you in the right direction.

Most, but not all, of the games we've chosen are available on Xbox Game Pass. While the Series X boasts the best performance and visuals, the Series S also offers noticeable improvements and upscales to 4K. And lots can also be played on your Xbox One as well, either with Smart Delivery to optimize the experience or through Microsoft's cloud-streaming tech for games that outpace the last generation.

If you'd rather catch up with some older, but still excellent games, be sure to read our picks for the best Xbox One games, or upgrade your gaming gear with our picks for the best Xbox controllers and best Xbox headsets. And while you're at it, check out our best PS5 games, best PS4 games, and best Nintendo Switch games too.","These are the very best Xbox Series X|S games.
The Xbox Series X|S is four years old, and it's built a huge library of great games.
With so much to choose from, we've curated a selection of the very best Xbox Series X|S games to play right now.
If you'd rather catch up with some older, but still excellent games, be sure to read our picks for the best Xbox One games, or upgrade your gaming gear with our picks for the best Xbox controllers and best Xbox headsets.
And while you're at it, check out our best PS5 games, best PS4 games, and best Nintendo Switch games too.",,https://www.gamespot.com/games
7,The Best Xbox Game Pass Games In 2025,['Steve Watts'],"GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

With 2025 officially upon us, it's a good time to catch up with some big AAA games you may have missed, or to dabble with smaller games to find a new personal favorite. Game Pass is a great resource for experimenting with a ton of different games, so to help you navigate the ever-shifting landscape, we've rounded up the very best Game Pass games available now. We'll continue to update this list as the Game Pass library rotates.

To be clear, there are plenty more excellent games on Xbox Game Pass than the ones we’ve listed below--the service is loaded with worthy games. These are just the games we think every Xbox owner should play, and we regularly review this list to make sure we stand by our choices and rotate in newer releases.

More Xbox best lists

Keep in mind, though, that Xbox Game Pass comes in various tiers at different pricing levels. Xbox Game Pass Core offers a smaller selection of games along with the online play functionality that used to be Xbox Live Gold for $10 per month. Xbox Game Pass for just the Xbox library is $11 per month, while Xbox Game Pass for PC is $10 per month. The best value by far is Xbox Game Pass Ultimate, which includes both the Xbox and PC libraries, along with cloud gaming functionality to play the Game Pass selections on your mobile device.

Here are the best games to sample on Game Pass right now. Microsoft surely has more Game Pass inclusions on the horizon throughout the rest of the year, so keep an eye here for more of our favorite picks.","Game Pass is a great resource for experimenting with a ton of different games, so to help you navigate the ever-shifting landscape, we've rounded up the very best Game Pass games available now.
To be clear, there are plenty more excellent games on Xbox Game Pass than the ones we’ve listed below--the service is loaded with worthy games.
More Xbox best listsKeep in mind, though, that Xbox Game Pass comes in various tiers at different pricing levels.
Xbox Game Pass for just the Xbox library is $11 per month, while Xbox Game Pass for PC is $10 per month.
The best value by far is Xbox Game Pass Ultimate, which includes both the Xbox and PC libraries, along with cloud gaming functionality to play the Game Pass selections on your mobile device.",,https://www.gamespot.com/games
8,The Best PC Games To Play In 2025,"['Steve Watts', 'Steven Petite', 'Gabe Gurwin', 'Mark Delaney']","GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

These are our selections for the very best PC games. Without a generational divide, the PC gaming library just keeps growing, so we focused on the best PC games to play right now. Some of these games, like Balatro and Space Marine 2, are recently released gems. Others are live-service games or multiplayer favorites that have stood the test of time, like Destiny 2. Our list of the best PC games spans across a wide variety of genres, so at least a few of these games will pique your interest. We regularly reevaluate and update this list to make sure our recommendations are current, and you can find previously removed games--which still come highly recommended--at the bottom of the list.

PC gaming is quite different from consoles, as your mileage with each game on this list will vary based on your rig. That said, many of the games on this list don't require the latest and greatest graphic cards--they merely help these great games look even better. And if you happen to have a Steam Deck, a lot of these games are playable on Valve's impressive handheld PC. We have a separate list of Steam Deck recommendations for games that play great there. We regularly reevaluate and update this list, so you can always use it as a resource to find some fresh recommendations.

We've linked to Steam listings where possible for these games, but it's worth noting that you can often find better deals on storefronts such as Fanatical and GOG. We've included links to those stores, too. Also, some of our picks are available on PC Game Pass, Microsoft's subscription service.

If you're thinking about upgrading your PC or starting a new build to play some of these games at higher settings, make sure to check out our step-by-step guide for building a gaming PC. We also have a dedicated list focused on the best Steam Deck games to play right now. If you're looking for accessories for your rig, check out our roundups of the best gaming keyboards, gaming mice, and PC gaming headsets.","These are our selections for the very best PC games.
Without a generational divide, the PC gaming library just keeps growing, so we focused on the best PC games to play right now.
Our list of the best PC games spans across a wide variety of genres, so at least a few of these games will pique your interest.
We also have a dedicated list focused on the best Steam Deck games to play right now.
If you're looking for accessories for your rig, check out our roundups of the best gaming keyboards, gaming mice, and PC gaming headsets.",,https://www.gamespot.com/games
9,The Best Steam Deck Games To Play In 2025,['Steve Watts'],"GameSpot may receive revenue from affiliate and advertising partnerships for sharing this content and from purchases through links.

These are the very best Steam Deck games. The Steam Deck has become a staple of PC gaming as the go-to portable solution for many PC players, and its popularity has seemingly inspired more portable PC manufacturers to join the market. Now you can enjoy a wide range of games, from the latest AAA releases to intriguing indie games, all in a convenient portable device.

You can read our Steam Deck review to see what we thought of it, but more than likely, you're ready to dive in for yourself. As soon as you boot it up, you'll find your Steam library is intact, which is exciting, but not all games are created equal when it comes to playing them via Steam Deck.

We've rounded up a few dozen of the best games to play on Steam Deck, including major AAA hits, under-the-radar indies, and everything in between. In most cases, these games have already been declared as ""Deck Verified"" by Valve, meaning it's fully supported without any caveats. Plus aside from just technical verification, some games just feel great in portable form, so we've taken that quality into account as well. And while the Steam Deck is great for PC tinkerers, for the purposes of this list we've stuck with games that run natively through the Steam interface without any special hoop-jumping. These are our best of the best recommendations for Steam Deck, and we regularly reevaluate and update. That means even now in 2024, you can reference this as a resource for finding great games.

If you do want to expand your horizons, though, you can also install Epic Games Store on Steam Deck to broaden your library even more. In most cases in our experience, these games work just as they would on your home PC, which is great when you consider how often Epic hands out free games on its platform. If you want to get the most out of your new toy, check out our list of the best Steam Deck accessories. As the list of Steam Deck-compatible games grows, so too will this list here. Keep checking back for recommendations on the best games to play on Steam Deck.","These are the very best Steam Deck games.
We've rounded up a few dozen of the best games to play on Steam Deck, including major AAA hits, under-the-radar indies, and everything in between.
These are our best of the best recommendations for Steam Deck, and we regularly reevaluate and update.
If you want to get the most out of your new toy, check out our list of the best Steam Deck accessories.
Keep checking back for recommendations on the best games to play on Steam Deck.",,https://www.gamespot.com/games
